,Title,Artist,URI,Target,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
6843,All my hope on God is founded (Michael: A Fanfare Setting),Herbert Howells,5BhI8I5JwtbNP1ioo37tLD,0,0.125,0.239,5.0,-16.085,1.0,0.039,0.921,0.698,0.104,0.0673,74.56,305360.0,3.0
6844,"I'm a Boy, I'm a Girl (Actress Demos)",New York Dolls,3LPPZCHACr5HGXSGKAZoZm,0,0.267,0.938,0.0,-6.209,0.0,0.0571,0.126,0.278,0.564,0.307,107.194,326173.0,4.0
6845,Warm Coffee (The Market Song),Ziggy Alberts,1NtmJKWtAMzdfbGE7Cd5mv,0,0.67,0.236,4.0,-10.782,1.0,0.039,0.909,0.0,0.161,0.341,133.876,196664.0,4.0
6846,"E più ti penso - From ""Once Upon A Time In America""",Andrea Bocelli,0OCmRU3GJwWSeMLAlJTCKS,0,0.219,0.151,1.0,-14.097,1.0,0.0366,0.933,8.35e-05,0.235,0.111,82.019,267318.0,3.0
6847,Always Wanting You - 2001 Remaster,Merle Haggard & The Strangers,0BaerbLgkd2iFb2hQnILZ0,0,0.594,0.385,7.0,-9.418,1.0,0.024,0.777,0.0899,0.244,0.491,96.074,187440.0,4.0
6848,Cheap Wine,The Vamps,606sYb1zQnoVWnUvELlkaR,0,0.745,0.702,9.0,-6.315,0.0,0.126,0.0455,0.0,0.0793,0.701,108.999,180427.0,4.0
6849,La Cañada,Contacto Norte,4bY90w7kVweCtOAnGCUreh,0,0.73,0.687,10.0,-7.809,1.0,0.0965,0.0501,0.0,0.209,0.708,125.567,181056.0,4.0
6850,My Soul Finds Rest (Psalm 62:1-2),Seeds Family Worship,3aEdSGi9M60cFJiIJ2iyeG,0,0.375,0.331,0.0,-11.977,1.0,0.0343,0.548,0.0,0.112,0.238,128.408,204427.0,4.0
6851,Histerics Taken for Granted,Kalugin,2GA4J3cc8zbbCTB6RJmGBi,0,0.66,0.412,0.0,-18.255,1.0,0.0353,0.000798,0.341,0.0925,0.895,128.038,87267.0,4.0
6852,Customs and Traditions,Mory Fassie,51TquAHxpk8xqYBdQ2zH3e,0,0.209,0.113,2.0,-20.218,1.0,0.036,0.98,0.958,0.107,0.0335,88.058,275000.0,4.0
6853,No Favors (feat. AshleySmashlaay & Rachelle Maust),Jared Oakes,2XV1uK4AiLiLVuSGI99MJM,0,0.743,0.635,2.0,-6.897,1.0,0.372,0.517,0.0,0.191,0.418,176.037,201848.0,4.0
6854,Fourth Chakra Healing Frequencies – 580 Hz,Chakra Healing Music Academy,0Bikv0KsPHFPpl129LwwWw,0,0.186,0.268,11.0,-15.084,0.0,0.0384,0.171,0.862,0.135,0.0372,68.097,235146.0,3.0
6855,Girl In A Country Song,Maddie & Tae,1GRiBe0kNCNYpjwCHIyynI,0,0.59,0.908,8.0,-3.789,1.0,0.084,0.285,0.0,0.36,0.874,160.028,217840.0,4.0
6856,"Let's Talk About Gender Baby, Let's Talk About You And Me - planningtorock rework",The Knife,764wWzAmoe9wDRXnfvR28J,0,0.925,0.422,9.0,-13.237,0.0,0.104,0.0229,0.252,0.119,0.615,125.993,402971.0,4.0
6857,Clinton-Bush / Why Do They Hate Us? / Florida / Al-Qaeda Fighters at the Bed & Breakfast / Heroin Task Force / Marine in the Basement,Marc Maron,1jUvLLc08qa7u4V65wsuj7,0,0.431,0.897,5.0,-6.904,0.0,0.898,0.716,0.0,0.861,0.468,84.948,482371.0,4.0
6858,Mergers and Acquisitions,BudaMunk,4FmldgoD2l89CI5QnRjJCj,0,0.629,0.326,6.0,-17.212,1.0,0.0969,0.882,0.916,0.0981,0.446,80.002,161636.0,4.0
6859,Intro - Diminuer le déficit d'attention,Nicole Bordeleau,0jODqoxiSeMK2nVa2ttHwq,0,0.721,0.257,2.0,-13.962,0.0,0.936,0.19,0.0,0.15,0.232,106.277,129000.0,3.0
6860,Telephone Rotary Dialing in Numerical Order Sound Effects Sound Effect Sounds EFX Sfx FX Office and Classroom Telephones,City Lights Sound Effects,2dHpAzLynDZtQ45ItTXBzH,0,0.622,0.116,1.0,-21.401,1.0,0.276,0.047,0.0,0.168,0.439,79.131,22067.0,3.0
6861,Candle-Lit and Nervous,Cameron Sanderson,1JlLd0gIYlsBRtuTZuPOKg,0,0.5,0.696,11.0,-5.417,1.0,0.0511,0.0458,0.0,0.105,0.719,128.084,183750.0,4.0
6862,Days Of The Week (Addams Family Parody),Martin and Rose Music,56kocFnAY5vjFJdp2WP7S5,0,0.687,0.642,5.0,-5.279,1.0,0.0516,0.647,0.0,0.23,0.91,57.654,67187.0,4.0
6863,White Noise: Calming Roar of the Ocean to Fall to Sleep and Stay Asleep,Natural White Noise Relaxation,0O3oat5MkjDTOneiwLPGda,0,0.075,0.00344,11.0,-19.787,0.0,0.273,0.871,0.995,0.108,1e-05,171.06,288493.0,5.0
6864,The Tenpenny Bit/ Wellington's Advance/ Coleraine,Peter Miln & Daniel James,01IJlTVF1ay1zNbQwhUulc,0,0.636,0.642,2.0,-10.486,1.0,0.0444,0.114,0.0,0.242,0.968,130.114,184240.0,4.0
6865,University of Illinois Fighting Illini War Chant (Fighting Illini Stadium Version),College Marching Band,1Sj882Iv416tfh2B5xHDfP,0,0.731,0.181,5.0,-10.797,1.0,0.103,0.0146,0.155,0.0977,0.0504,115.41,58828.0,4.0
6866,Aboriginal Android,Marco Cocchieri,0RT0zU3N6tAhyiinzAzmrf,0,0.646,0.614,0.0,-14.251,0.0,0.0367,0.374,0.882,0.214,0.73,95.997,155516.0,4.0
6867,Kcir Nibur Produces Music Great,The Passionate & Objective Jokerfan,1bVcXzNcvvyVmx7gQls0KM,0,0.855,0.123,7.0,-14.834,1.0,0.0946,0.89,0.0,0.0858,0.756,126.995,82867.0,4.0
6868,Thesis and Antithesis,Akantha,0xJyYa5JWoGSPQuqJcyue8,0,0.0757,0.889,8.0,-7.653,1.0,0.0577,0.055,0.535,0.106,0.0306,174.61,292147.0,4.0
6869,One Day & the Force Theme,Samuel Kim,29wbRO9DnJvliIIPhEL9nV,0,0.272,0.592,2.0,-8.29,0.0,0.0303,0.0615,0.936,0.106,0.221,82.005,166651.0,4.0
6870,At Least I Know I'm A Sinner,Atreyu,0hqVuGCLZXKj10jIjTkKB9,0,0.34,0.923,8.0,-4.924,1.0,0.0491,1.39e-05,3.45e-05,0.0591,0.58,97.739,202293.0,4.0
6871,L'Enfance de Ko-quo (Recommendations maternelles): 1. Ne bois pas ton chocolat avec les doigts,Erik Satie,5F8G8jzcoTmJVIKNdG4C44,0,0.606,0.0444,7.0,-33.359,1.0,0.0868,0.987,0.952,0.108,0.708,106.215,65627.0,4.0
6872,Gods and Punks,Monster Magnet,34Zul2LCL4OKpQATReLdyM,0,0.26,0.746,8.0,-5.748,1.0,0.0342,0.000466,0.0965,0.0843,0.385,200.027,331987.0,4.0
6873,The End and the Beginning - Song of Time (Theme Song) - Ending,Tamiya Terashima,1JiMXczlx132vYlTxEcFA9,0,0.236,0.112,11.0,-16.481,1.0,0.0362,0.825,0.00902,0.108,0.0645,121.357,516360.0,4.0
6874,For Hire and Removal - BBC Radio 1 John Peel Session,Eek-A-Mouse,0qNbfNWSAS0Mxe56tzaeyi,0,0.678,0.566,5.0,-8.138,1.0,0.0714,0.206,7.21e-05,0.0977,0.607,142.777,330453.0,4.0
6875,In Visible Light - live at Wacken 2007,Lacuna Coil,79Ir4I9zwCiF9K8UxqtEbs,0,0.413,0.866,4.0,-2.924,1.0,0.0381,0.000305,6.73e-06,0.838,0.163,139.917,244467.0,4.0
6876,Ain't It Funny (feat. Ja Rule & Cadillac Tah) - Murder Remix,Jennifer Lopez,5ahFyKndeg1hqfmNumL3WF,0,0.781,0.746,8.0,-2.686,1.0,0.17,0.364,0.0,0.098,0.786,89.43,229800.0,4.0
6877,Take Good Care Of Her (with J.D. Sumner & The Stamps) - alt. take 3,Elvis Presley,0HF4QwFFBSvLkZNSKigUQx,0,0.626,0.217,0.0,-13.737,1.0,0.0278,0.534,2.8e-05,0.114,0.424,97.321,213240.0,4.0
6878,Old Television Switched On & Produces Hum & Buzz,Sound Ideas,50CQ5blczUgcr15iv4KCbQ,0,0.344,0.000246,3.0,-17.478,1.0,0.0866,0.233,0.000568,0.101,0.0,140.524,20811.0,4.0
6879,"Sleep for the Sleepless 2, Pt. 8: Wallet & Number 2",Ephemeral Rift,579G9buE2nZtC2bn9qVAZk,0,0.427,0.347,1.0,-45.313,1.0,0.0533,0.383,0.0958,0.45,0.0136,101.343,546365.0,4.0
6880,To the Diameter,Numbers And Parameters,31DYHfMZhiRYq13xeI2dV2,0,0.495,0.821,0.0,-11.001,1.0,0.0526,0.0,0.889,0.451,0.133,136.921,412103.0,4.0
6881,"Dear Christians, One & All, Rejoice!",Brian Sauvé,05nII9He1eKhHh9RKJCthM,0,0.47,0.444,0.0,-7.209,0.0,0.0284,0.313,0.0,0.196,0.216,79.945,384784.0,1.0
6882,Anxiety Removal,Sleeping Music For Dogs,7DmDD0bX3o6hXojAGmGOGS,0,0.292,0.0653,7.0,-20.765,1.0,0.0403,0.994,0.929,0.0988,0.314,66.036,113625.0,4.0
6883,"The Fragrance of Dark Coffee (From ""Phoenix Wright: Ace Attorney − Trials and Tribulations"")",Paper Coelacanth,5L6LsPHJHhQ7vJLx1mcsqw,0,0.463,0.0876,9.0,-21.701,1.0,0.0558,0.989,0.929,0.102,0.0601,66.74,106788.0,4.0
6884,Grams & Scams,1K$u,41wBgR7cc0GZV7kjIEaCbF,0,0.543,0.59,5.0,-7.899,1.0,0.457,0.368,0.0,0.123,0.399,86.996,167784.0,4.0
6885,Above And Beyond,Jhené Aiko,2p5QtNGyfnT5MhQex3WOte,0,0.555,0.42,10.0,-8.954,0.0,0.0919,0.532,0.0,0.123,0.423,112.972,206013.0,4.0
6886,The Pursuit,Santino Fontana,7y9B8KYMmegRYgY9NQyoOo,0,0.533,0.376,0.0,-8.982,1.0,0.037,0.832,0.0765,0.0482,0.323,138.434,266920.0,4.0
6887,Downloaded (Rogan Remix) [feat. Lolly Wish],Bart & Baker,2cl4AT9w1NXRmPEqALOYJh,0,0.663,0.699,1.0,-7.687,0.0,0.0352,0.0114,0.245,0.147,0.132,105.01,290893.0,4.0
6888,Treasurer of Surfdom - Live,Joey Butta & The Fuctones,7IQH92RBOgV5VQoM7zEi04,0,0.334,0.872,7.0,-7.498,1.0,0.369,0.00154,0.000896,0.658,0.478,168.905,121548.0,4.0
6889,El Individual - Banda Version,Los Dareyes De La Sierra,6BVdv7BOVqm4U53ytQrAEv,0,0.965,0.601,7.0,-4.568,1.0,0.0773,0.35,0.00117,0.0864,0.979,117.556,210800.0,4.0
6890,Lost & Founded,Tomson,2IUxwMdaAhgKRjlOU6jjix,0,0.712,0.561,7.0,-10.455,1.0,0.0467,0.0261,0.849,0.107,0.275,122.019,407000.0,4.0
6891,Dal giorno in cui sei nato tu,Andrea Laszlo De Simone,7FvYnnwtR9JXoJwNM6QJ7X,0,0.293,0.781,10.0,-5.37,0.0,0.0845,0.67,0.621,0.0822,0.101,100.103,288467.0,4.0
6892,No Longer Slaves - Instrumental - Reyer & Retain Remix,Reyer,5UH81599JeiAuUwmbeeESm,0,0.708,0.577,9.0,-9.415,1.0,0.0544,0.0165,0.132,0.091,0.387,128.031,211377.0,4.0
6893,In The LBC - Warren G Remix,4th & Orange,6kPq6t7eBrc3vmn4TYu76e,0,0.695,0.714,6.0,-5.16,0.0,0.0351,0.00252,0.0,0.107,0.947,75.038,195747.0,4.0
6894,Heathrow,Catfish and the Bottlemen,2X6aiq2KyWsyhh7c3vzeyp,0,0.677,0.304,6.0,-11.669,0.0,0.036,0.732,9.32e-05,0.113,0.0659,113.889,171533.0,4.0
6895,"That's On Me (feat. 2 Chainz, T.I., Rich The Kid, Jeezy, Boosie Badazz & Trapboy Freddy) - Remix",Yella Beezy,7yExgsBx35vegvvLd2415v,0,0.827,0.623,4.0,-6.199,0.0,0.351,0.0193,0.0,0.0591,0.361,131.888,352977.0,4.0
6896,"SVP (feat. JoeyAK, Young Ellens & Sevn Alias)",Boef,036HGg6Bs7n15m99zcnPwZ,0,0.579,0.814,6.0,-6.984,1.0,0.42,0.0955,0.0,0.109,0.735,139.904,212830.0,4.0
6897,Message personnel,Lara Fabian,2ovoMQc48PbqJpggHdYoKC,0,0.597,0.466,0.0,-8.642,0.0,0.0344,0.554,5.94e-06,0.201,0.234,62.976,300360.0,4.0
6898,Boomin (feat. Missy Elliott & Future),Teyana Taylor,6tCV8RZVP7zW59Ybxj6COL,0,0.548,0.398,0.0,-8.187,1.0,0.293,0.359,0.0,0.291,0.579,127.899,331469.0,4.0
6899,Contributing in Building the Wellness,Michael Shaw,4wlDN5yNWcZdKkjZjwn77X,0,0.258,0.0136,7.0,-32.399,1.0,0.0466,0.988,0.927,0.103,0.0476,138.4,142609.0,4.0
6900,Ruby Performs,Craig Armstrong,5XeztyrdP9sBkWuxcSqz5T,0,0.234,0.224,5.0,-13.402,1.0,0.0327,0.246,0.866,0.0944,0.473,182.045,65827.0,3.0
6901,Medication - Prok & Fitch Remix,Erick Morillo,7BFvZStHpSDt8J11ySYGFe,0,0.801,0.881,0.0,-7.718,1.0,0.0739,0.000698,0.87,0.114,0.805,123.991,205155.0,4.0
6902,The Proof of Your Love - The Monologue Mix,for KING & COUNTRY,3b1TedXKn9m9dUl07s1vxF,0,0.508,0.607,0.0,-7.439,0.0,0.0367,0.402,2.21e-06,0.109,0.335,78.03,221357.0,3.0
6903,Quietly Contributing,Richard Yost,1FkeOCTEcrCh5DsPsSAoMf,0,0.593,0.648,9.0,-8.642,1.0,0.0246,0.385,0.954,0.129,0.379,84.978,304323.0,4.0
6904,"Ear Picking Metal Tool, Dropper & Rubbing",Rapunzel ASMR,0iadabAJinx2vZYpaCfLqP,0,0.619,0.0631,1.0,-34.721,1.0,0.424,0.0722,0.00471,0.0599,0.204,105.856,303168.0,5.0
6905,Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,543bCW2ruMPmxUBWirQ3MR,0,0.746,0.787,4.0,-6.373,1.0,0.12,0.214,0.0,0.0669,0.607,95.005,206187.0,4.0
6906,Joyce Carol Oates Is a Boring Old Biddy,The Lawrence Arms,6bj6RwC2E7y9YmYrWCUn0N,0,0.224,0.96,0.0,-7.841,1.0,0.202,0.000701,0.00058,0.334,0.132,151.794,208680.0,4.0
6907,Noise Blocking Pink,Binaural Bliss,4PPJ95UUKbM43K0Xq7datp,0,0.0,0.546,6.0,-20.706,0.0,0.0,0.996,1.0,0.534,0.0,0.0,72231.0,0.0
6908,The London (feat. J. Cole & Travis Scott),Young Thug,3s4mrPrEFFPF0LmAfutW0n,0,0.784,0.517,4.0,-8.981,0.0,0.209,0.0249,1.44e-06,0.155,0.206,97.991,200187.0,4.0
6909,Minuscule,Belmont,7JE9Sz07lBFG2j020vnx7C,0,0.211,0.983,11.0,-1.883,1.0,0.192,0.000101,0.000222,0.0459,0.257,86.238,301773.0,1.0
6910,Trading Places - Monk & Prof Remix (Edit),Usher,4z5ybEMblYAI7Xe28PRZOW,0,0.513,0.749,11.0,-3.428,0.0,0.227,0.000238,0.0168,0.0359,0.785,170.545,292853.0,5.0
6911,Emmanuel (God With Us Forever),Bryan & Katie Torwalt,1mpUHBcYXWeejW5aPrRymP,0,0.415,0.487,11.0,-7.585,0.0,0.0343,0.0737,0.0,0.0895,0.173,132.049,329440.0,4.0
6912,Surrounding and Protecting With Theta Binaural Beats,Anna Thompson,4Bz8SG0iIAeoABW8aSMJPG,0,0.342,0.00737,3.0,-21.281,1.0,0.0513,0.962,0.000881,0.102,0.157,119.394,578500.0,3.0
6913,Peanut Vendor,Preservation Hall Jazz Band,6JqlhEk2LYfmvAqt5OQItK,0,0.731,0.518,2.0,-10.176,1.0,0.05,0.337,0.0,0.17,0.747,114.364,214880.0,4.0
6914,DanS mA CITÉ,Clay and Friends,6Yun3GKFBRm5ONi8FuxdLX,0,0.547,0.583,1.0,-6.906,0.0,0.246,0.324,0.0,0.0335,0.81,95.115,185429.0,4.0
6915,Trust Issues,6 Dogs,2OHkTt486xX4BL3sylPfdu,0,0.77,0.716,2.0,-5.418,1.0,0.044,0.411,0.0,0.218,0.183,133.009,203008.0,4.0
6916,Does He Know About Us,David Morris,7kh1x5LXtJwjkherN1IoWS,0,0.644,0.662,6.0,-5.403,0.0,0.0323,0.0537,1.49e-05,0.155,0.216,95.001,158681.0,4.0
6917,"Genuine, Pt. 1",Sharon Jones & The Dap-Kings,5fqbg0JMmOXuAQNA8aHuSc,0,0.579,0.676,8.0,-5.772,0.0,0.0504,0.334,0.000123,0.187,0.935,132.799,238627.0,5.0
6918,Money 2 Fold,Bad Azz,4kVB3o9ibVwSva5rhw7wzC,0,0.76,0.805,2.0,-6.055,1.0,0.251,0.155,0.0,0.146,0.628,96.092,269027.0,4.0
6919,Marketing and Promotions,Tearod Robertson,4XgfDyPnkV9B8ZmZY3OVq8,0,0.71,0.285,5.0,-18.65,0.0,0.85,0.692,0.0,0.782,0.444,125.063,1738707.0,4.0
6920,Opinions: Haters and Critics,Fearless Motivation,6Ekm0KRmUd0NsJsI91kkra,0,0.512,0.787,2.0,-8.497,1.0,0.441,0.38,0.0,0.205,0.381,129.379,330000.0,4.0
6921,Again (Fullmetal Alchemist Brotherhood) - Part 5,Kato,1ZXLPN76wWc2NDfIlX52or,0,0.474,0.0299,11.0,-26.142,1.0,0.0563,0.992,0.948,0.101,0.145,123.361,49327.0,4.0
6922,Forever (feat. Joseph Chilliams & Ravyn Lenae),Noname,3cFqaY74NyS6rcitujSx2g,0,0.672,0.655,6.0,-9.768,0.0,0.469,0.571,0.0,0.188,0.906,113.74,218627.0,5.0
6923,Remains of the Day - Combo Lounge Version,Bonejangles And His Bone Boys,2K2rEtnAdmlZX3HN5R4HGU,0,0.839,0.218,5.0,-16.317,0.0,0.0397,0.826,0.631,0.0983,0.517,134.992,186613.0,4.0
6924,"Jesus, Strong and Kind",CityAlight,7lE9AsH8YADFeykexnXK4u,0,0.453,0.33,0.0,-12.269,1.0,0.0292,0.307,0.0,0.678,0.103,90.963,249184.0,4.0
6925,"Holy Key (feat. Big Sean, Kendrick Lamar & Betty Wright)",DJ Khaled,4o1zYFH5QWKu3E4MiC6lgE,0,0.413,0.928,9.0,-3.671,1.0,0.321,0.106,0.0,0.331,0.469,83.203,281980.0,4.0
6926,All Eyes On Me (feat. Savannah Lee May),Julie and the Phantoms Cast,7xes9C8wY51JNZzkzPh7c3,0,0.942,0.859,2.0,-4.306,0.0,0.121,0.0266,5.04e-06,0.337,0.662,117.952,222712.0,4.0
6927,"Another One Bites The Dust - Live At Summer Sonic, Tokyo, Japan, 2014",Queen,57wxyRRrBfWl6BUSsHwvYB,0,0.585,0.914,5.0,-8.261,1.0,0.0719,0.0922,0.00683,0.963,0.458,111.479,202557.0,4.0
6928,Aboriginal Android,Stefano Profeta,0ZPhrKsD0AwCzEArYapljb,0,0.655,0.651,0.0,-13.111,0.0,0.0379,0.381,0.856,0.252,0.743,96.013,155573.0,4.0
6929,Diagnostic Methods and Screening Tests,Lifeline Audio Books,5vHIUKufiBXXpUCg4WVEly,0,0.724,0.0875,9.0,-22.774,1.0,0.958,0.49,0.0,0.36,0.641,87.0,135400.0,4.0
6930,Interview E,Death Grips,3VJnanMlBoMuqclPXwmvKt,0,0.778,0.366,1.0,-6.851,1.0,0.141,0.729,0.884,0.127,0.606,106.956,83638.0,4.0
6931,"Fooled Around and Fell in Love (feat. Maren Morris, Elle King, Ashley McBryde, Tenille Townes & Caylee Hammack)",Miranda Lambert,3P9mtsqs0J79yGVmVuAs4B,0,0.585,0.797,5.0,-4.892,1.0,0.0344,0.0131,5.89e-05,0.242,0.706,112.425,249573.0,3.0
6932,Two Shots,Lil Wayne,6mTBGEeuTNbEw4RULwJfgj,0,0.419,0.615,2.0,-8.56,1.0,0.197,0.00484,6.83e-06,0.13,0.38,145.053,165013.0,4.0
6933,Polka Dots and Moonbeams,Gabriel Latchin Trio,283h1iiG7BVoKvTVAr5bSc,0,0.576,0.132,2.0,-19.928,0.0,0.0399,0.97,0.898,0.122,0.122,63.078,329680.0,4.0
6934,Sitting At The Feet Of Jesus - Live,Gaither Vocal Band,3p7wqEEcTt1Qk1jDMTw1na,0,0.404,0.332,1.0,-10.989,1.0,0.0264,0.572,0.0,0.0765,0.118,101.735,295920.0,4.0
6935,Parks & Pubs,She's The Band,5pk63TmXq5vRQrE5b5Vjpv,0,0.368,0.917,9.0,-5.468,0.0,0.0837,0.0266,0.0151,0.704,0.213,126.029,228238.0,4.0
6936,Communicate,Enrique Olivarez & Los Vampiros,2992ClwOeHmsHi0fyILneF,0,0.656,0.47,9.0,-11.231,1.0,0.0518,0.624,0.829,0.24,0.967,88.235,218507.0,4.0
6937,"I Deserve It All (feat. Mike Smiff, Kase 1 & Major Nine)",Ball Greezy,7qgndabN6SZSDUMff91uEI,0,0.698,0.711,5.0,-7.249,1.0,0.138,0.0747,0.0,0.102,0.856,99.967,249601.0,4.0
6938,Death Before Dishonor,Jelly Roll,0j7KzELB5SlmxTOQRdvYGR,0,0.657,0.695,7.0,-6.976,1.0,0.164,0.0506,0.0,0.19,0.328,75.039,198635.0,4.0
6939,Race Against Time Part 2,Tank,7mihEEIJbHFASaHwDMNvFq,0,0.723,0.598,11.0,-4.862,0.0,0.0811,0.0117,0.0,0.376,0.619,89.958,310307.0,4.0
6940,Linda Estrella (feat. Baby Rasta y Gringo),Noriega,4p7NHxROYGVe6wcotaS9CL,0,0.743,0.519,6.0,-9.481,0.0,0.231,0.0238,7.07e-05,0.137,0.854,75.137,174126.0,4.0
6941,Sway at Night & Smack Dvd Url (Interlude),Sy Ari Da Kid,7BejLb7wXoyyjab6dNWXaz,0,0.604,0.748,10.0,-8.087,0.0,0.436,0.662,0.0,0.946,0.507,108.821,409783.0,3.0
6942,Pissing Blood,Shogun And The Sheets,3XKnzIfpGGzOIvgklK47ht,0,0.201,0.59,2.0,-3.934,0.0,0.034,0.126,0.148,0.167,0.232,176.016,248405.0,3.0
6943,Life's Railway to Heaven (feat. Ronnie Booth),Ernie Haase & Signature Sound,38ldfXhBmzQLGKvjlQUssL,0,0.451,0.764,7.0,-5.997,1.0,0.0334,0.0739,0.0,0.786,0.769,145.107,214087.0,4.0
6944,Pm's Love Theme (Love Actually),Benny Martin,1meRuBSje8eJVwBP3yibpv,0,0.588,0.158,0.0,-24.64,1.0,0.0439,0.995,0.895,0.119,0.488,112.197,97777.0,4.0
6945,Red Pill: Dosage and Directions,Progress Society,7LzzQPRMCDveZtPer03KjO,0,0.495,0.953,7.0,-4.864,1.0,0.169,2.31e-05,0.00348,0.277,0.155,122.466,196027.0,4.0
6946,Wasted & Useful,Annisokay,79J5mjhhSQl7NNljxNNKs1,0,0.454,0.976,2.0,-3.686,0.0,0.115,0.000458,0.0,0.109,0.143,134.985,222213.0,4.0
6947,"Tenth Avenue Freeze-Out - Live at the Auditorium Theatre, Rochester, NY - 02/08/77",Bruce Springsteen,1KnoKHRTcdBVAYamQZ8J1M,0,0.456,0.809,5.0,-7.181,1.0,0.0692,0.127,0.0,0.0648,0.809,110.251,210667.0,4.0
6948,Especially For You,The Smithereens,2YIQkTuJqb9oLhOmhPk3FP,0,0.339,0.509,8.0,-10.168,1.0,0.0386,0.233,0.0143,0.115,0.217,109.77,208533.0,3.0
6949,Scales and Arpeggios,Susan Novack,7i8YcRdMR4rCCPWb3oPDg0,0,0.629,0.572,0.0,-7.616,1.0,0.0363,0.893,0.0,0.133,0.519,108.985,155040.0,4.0
6950,Surroundings,E-40,1EV0P0Rt7bzWbXNhvTY3eW,0,0.794,0.86,8.0,-4.129,0.0,0.26,0.0885,0.0,0.153,0.567,99.947,206572.0,4.0
6951,Alone Together,Fall Out Boy,75SixhsPWyRRmtqHeffiXr,0,0.552,0.915,4.0,-3.713,1.0,0.0559,0.0013,3.74e-05,0.206,0.606,90.013,203413.0,4.0
6952,The Specialist,Kid Loco,6OLZl1crYtZ4MxqwvOPRyN,0,0.608,0.833,6.0,-4.324,0.0,0.0329,0.0462,0.0599,0.0639,0.736,129.028,492248.0,4.0
6953,Box State Representatives,Teqnik G,0JZ2TlX4frX9ZpwGsSeNhR,0,0.56,0.762,1.0,-12.004,1.0,0.263,0.0253,0.0,0.155,0.42,94.863,178030.0,4.0
6954,Te Apuesto - En vivo,Marca MP,7wnO6pBzcWWT8zT4vFx7hM,0,0.724,0.357,8.0,-8.197,1.0,0.0715,0.432,0.0,0.12,0.69,141.159,228545.0,4.0
6955,Fuck It and Whatever,The Echo-Friendly,4o9CzuuK6x4R1Qh0NyxCc9,0,0.437,0.646,9.0,-5.305,0.0,0.0373,0.0264,0.0292,0.749,0.376,119.969,272093.0,4.0
6956,Lyrical Song Inserted Into the Tale of Kerem and Asli,Turks,52H8rHR4Mpwycri78wpRLD,0,0.553,0.283,10.0,-13.896,1.0,0.0507,0.93,0.0987,0.447,0.279,95.662,171893.0,3.0
6957,HEADLINES (feat. Yungeen Ace & Lil Jairmy),Slayter,6HC5p7WtmNAl7xTsaCZtV2,0,0.779,0.458,6.0,-9.413,0.0,0.385,0.0237,1.41e-06,0.182,0.228,155.153,249880.0,4.0
6958,The Wheels on the Bus,Bert & Ernie,7dbPdcoqgjVh3LZaXM0i8a,0,0.825,0.485,0.0,-8.918,1.0,0.127,0.779,0.000348,0.0939,0.749,74.993,158722.0,4.0
6959,The Willing Well I: Fuel for the Feeding End,Coheed and Cambria,6khgeAejkFkfdsfauTp6dJ,0,0.364,0.965,1.0,-5.889,1.0,0.342,0.0156,0.0,0.117,0.492,165.803,437400.0,4.0
6960,Fire On Meshtigo,O'Death,0CjRTlupM2AdpCqEuUU6VT,0,0.499,0.863,7.0,-4.884,0.0,0.0843,0.0512,2.2e-05,0.109,0.837,127.462,166547.0,4.0
6961,Voodoo Economics,The Proletariat,0YKbHcNFUZU4oczd2myjNs,0,0.617,0.664,9.0,-9.526,0.0,0.132,0.00473,0.0986,0.0613,0.575,111.138,171333.0,4.0
6962,The Arrangement,Beach House,36NPTfT87vp3t0WhKJGQYL,0,0.649,0.578,2.0,-9.083,1.0,0.0287,0.514,0.549,0.0843,0.396,109.591,304716.0,3.0
6963,"And You and I - Live at Ottawa Civic Centre, Ottawa, Ontario, Canada November 1, 1972",Yes,3m6zGw4EPQmy0SvpwXgUl5,0,0.278,0.459,9.0,-15.908,1.0,0.0572,0.189,0.0231,0.393,0.224,152.616,571613.0,4.0
6964,"...And to Those I Love, Thanks for Sticking Around",$uicideboy$,1VGe3kTmxidhLmbt0XKMlg,0,0.792,0.511,2.0,-6.876,1.0,0.0409,0.124,9.04e-05,0.14,0.111,113.983,168490.0,4.0
6965,"Sarah Palin, The Clintons, And Jack - Explicit Audio",Robin Williams,4iq0TGsXh1cxcV2c28YyYf,0,0.503,0.966,1.0,-7.737,1.0,0.955,0.867,0.0,0.714,0.221,57.037,324760.0,3.0
6966,Just Say No to the WTO,D.O.A.,0SIWrLCzRYevEMe2MvchNN,0,0.545,0.98,2.0,-4.212,1.0,0.105,0.0846,0.0,0.281,0.748,159.281,169227.0,4.0
6967,"Up Close Whispering and Layered Sounds, Pt. 3",Marno ASMR,7KTkWeTg6jCavAu1zyTt7T,0,0.638,0.0384,1.0,-32.663,1.0,0.136,0.00403,0.213,0.109,0.103,123.23,324858.0,5.0
6968,"An Introduction to … DVORAK Symphony No. 9, ""From the New World"": Subjectivity and expertise; Sourek and Tovey disagree; onwards, into the final section",Jeremy Siepmann,1vZFFfstQ7rxZohhyVVXJt,0,0.403,0.00713,1.0,-24.604,1.0,0.11,0.904,0.00255,0.12,0.0395,120.876,314093.0,5.0
