,Title,Artist,URI,Target,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
87,i’m a thug,trick daddy,6j2aNuhJJUnRj6UHcvn5PI,1,0.933,0.561,11.0,-5.961,1.0,0.122,0.0275,0.0,0.102,0.586,139.976,254400.0,4.0
88,here’s to the night,eve 6,4tgeQrPu5xkrnwErym2JsJ,1,0.583,0.652,7.0,-6.255,1.0,0.0244,0.0405,0.000378,0.0781,0.352,97.469,249840.0,4.0
89,you shouldn’t kiss me like this,toby keith,5ueUywJbmAZY2MF9hdJS2y,1,0.421,0.79,7.0,-4.457,1.0,0.0417,0.319,3.41e-06,0.257,0.303,168.643,221067.0,4.0
90,get over yourself,eden’s crush,5zkar8r2C9Dq08bl5f14FC,1,0.611,0.777,0.0,-6.292,1.0,0.0329,0.00736,0.0,0.145,0.509,100.032,203400.0,4.0
91,dance with me,debelah morgan,1C2Q3AymKS17bw7T5gfq6p,1,0.85,0.674,7.0,-7.981,0.0,0.0373,0.309,0.000645,0.0356,0.74,115.005,220107.0,4.0
92,"so fresh, so clean",outkast,6glsMWIMIxQ4BedzLqGVi4,1,0.725,0.64,5.0,-7.905,0.0,0.332,0.0281,0.0,0.099,0.915,166.028,240027.0,3.0
93,e.i.,nelly,4bUfMNNmiCmPXVyWzIfKeZ,1,0.834,0.481,2.0,-7.824,0.0,0.188,0.0732,0.0,0.0934,0.406,89.849,285907.0,4.0
94,be like that,3 doors down,3PbHle8KhJp6GuO1jLdEmQ,1,0.487,0.702,7.0,-6.043,1.0,0.0238,0.00528,4.97e-06,0.129,0.306,95.982,265907.0,4.0
95,most girls,p!nk,635PqgECfFbL0MNLogX7Yv,1,0.742,0.732,2.0,-6.046,0.0,0.0311,0.0424,0.00446,0.101,0.694,97.922,298960.0,4.0
96,oochie wally,qb’s finest feat. nas and braveheart’s,56DPW47j6NZnRye792oACa,1,0.655,0.759,7.0,-6.408,1.0,0.321,0.0546,0.000586,0.589,0.711,93.704,297907.0,4.0
97,hero,enrique iglesias,4AkrkORGjiz7c90mwxAvdW,1,0.557,0.573,7.0,-6.244,1.0,0.0335,0.159,2.49e-06,0.116,0.193,75.973,263600.0,4.0
98,hemorrhage (in my hands),fuel,1sjrDQXqAa9V07FjKIlAQ4,1,0.301,0.823,1.0,-4.072,1.0,0.0433,0.000144,0.000309,0.0833,0.372,152.017,236867.0,4.0
99,how your remind me,nickelback,0gmbgwZ8iqyMPmXefof8Yf,1,0.446,0.764,10.0,-5.042,1.0,0.033,0.00135,0.0,0.099,0.543,172.094,223840.0,4.0
100,foolish,ashanti,6zMUIb4uce1CzpbjR3vMdN,1,0.665,0.695,0.0,-5.763,1.0,0.0532,0.347,0.0,0.106,0.707,90.119,227387.0,4.0
101,hot in herre,nelly,04KTF78FFg8sOHC1BADqbY,1,0.956,0.745,11.0,-4.753,0.0,0.12,0.206,0.0,0.0615,0.912,107.075,228240.0,4.0
102,dilemma,nelly feat. kelly rowland,14MgTooapmJdLlEMAr2zAM,1,0.736,0.518,2.0,-9.333,0.0,0.182,0.185,1.51e-05,0.147,0.579,168.121,289667.0,4.0
103,wherever you will go,the calling,5QpaGzWp0hwB5faV8dkbAz,1,0.558,0.719,2.0,-5.113,1.0,0.0267,0.0367,0.0,0.115,0.371,112.027,208600.0,4.0
104,a thousand miles,vanessa carlton,4w1lzcaoZ1IC2K5TwjalRP,1,0.56,0.825,11.0,-3.862,1.0,0.0379,0.323,0.0,0.161,0.268,94.931,237493.0,4.0
105,in the end,linkin park,60a0Rd6pjrkxjPbaKzXjfq,1,0.556,0.864,3.0,-5.87,0.0,0.0584,0.00958,0.0,0.209,0.4,105.143,216880.0,4.0
106,what’s luv?,fat joe feat. ashanti,2mKouqwAIdQnMP43zxR89r,1,0.835,0.707,8.0,-5.074,1.0,0.0598,0.0219,2.19e-05,0.108,0.919,93.955,267093.0,4.0
107,u got it bad,usher,7J41dYQolQJEtj3UmKLu5r,1,0.816,0.5,1.0,-4.551,1.0,0.03,0.0227,1.53e-06,0.0733,0.649,124.037,247840.0,4.0
108,blurry,puddle of mudd,6lSr3iZTC144PKhvbPFzMp,1,0.431,0.938,3.0,-4.507,0.0,0.0542,0.00805,0.0,0.138,0.523,157.462,304000.0,4.0
109,complicated,avril lavigne,5xEM5hIgJ1jjgcEBfpkt2F,1,0.585,0.776,5.0,-5.898,1.0,0.0459,0.0572,7.74e-06,0.3,0.427,77.987,244507.0,4.0
110,always on time,ja rule feat. ashanti,4hrae8atte6cRlSC9a7VCO,1,0.839,0.706,5.0,-6.104,0.0,0.199,0.208,0.0,0.242,0.839,96.673,245133.0,4.0
111,ain’t it funny,jennifer lopez feat. ja rule,5ahFyKndeg1hqfmNumL3WF,1,0.781,0.746,8.0,-2.686,1.0,0.17,0.364,0.0,0.098,0.786,89.43,229800.0,4.0
